Project ID,Project Subject Subcategory Tree,Project Title,Project Need Statement,School State,School Metro Type,School Zip,Project Grade Level Category,project_txt
0f746a652a5d3384dbdac242b2d2b488,"College & Career Prep, Special Needs",Heigh-Ho It's Off To Work We Go,My students need a small vending machine. ,California,suburban,92563,Grades 3-5,"heighho its off to work we go & my students need a small vending machine. & college & career prep, special needs & california"
13edec60996e522fe165d517a29bf9db,"Literature & Writing, Mathematics",Engaging Young Minds Using iPads,My students need an iPad to become creative and critical thinkers through technology in all subject areas.   ,Texas,urban,79904,Grades 3-5,"engaging young minds using ipads & my students need an ipad to become creative and critical thinkers through technology in all subject areas. & literature & writing, mathematics & texas"
140fe63b98b9601f338b82fb04d87a4c,Music,Simple Xylophones: Big benefits!,My students need xylophones as a way to experience making music.,Georgia,suburban,30034,Grades 3-5,simple xylophones big benefits & my students need xylophones as a way to experience making music. & music & georgia
144db90dfae1670c6d1cb915fc238065,"Literacy, Visual Arts",Little Beavers Learn to Read and Write with Art,"My students need paint, markers, an easel, glitter, collage materials, colored pencils, playdough, and more art materials to strengthen their writing.",California,suburban,92026,Grades PreK-2,"little beavers learn to read and write with art & my students need paint, markers, an easel, glitter, collage materials, colored pencils, playdough, and more art materials to strengthen their writing. & literacy, visual arts & california"
157d3d38e433c9c272aa9e43ff58303f,"Music, Performing Arts",All Aboard! Destination Music Station!,My students need six iPad minis for our music stations.,Indiana,urban,46222,Grades 3-5,"all aboard destination music station & my students need six ipad minis for our music stations. & music, performing arts & indiana"
15ce565c02ef17d93a5ef1b3e3d0cd2d,"Literacy, Special Needs",Just Right Reading,"My students need books at levels that they can comprehend but that do not embarrass them by appearing to be designed for younger children, and graphic novels are well equipped to meet this need.",California,urban,90048,Grades 3-5,"just right reading & my students need books at levels that they can comprehend but that do not embarrass them by appearing to be designed for younger children, and graphic novels are well equipped to meet this need. & literacy, special needs & california"
19c357e41e5cbbb019a8c40a1d889751,"Literacy, Mathematics",Help Little Ones With Special Needs Become Big Learners!,My students need early math centers and a listening center to promote kindergarten readiness skills. ,Michigan,suburban,49097,Grades PreK-2,"help little ones with special needs become big learners & my students need early math centers and a listening center to promote kindergarten readiness skills. & literacy, mathematics & michigan"
1acd0203094b47419922a835a49b2238,"Performing Arts, Visual Arts",Let's Get Creative!,"My students need a Chromebook for creating powerpoint plays, poetry posters, dramatic read alouds, and more during our, ""Let's Get Creative"" rotation time.",Texas,suburban,78253,Grades 3-5,"lets get creative & my students need a chromebook for creating powerpoint plays, poetry posters, dramatic read alouds, and more during our, lets get creative rotation time. & performing arts, visual arts & texas"
1d0ff95623a3db80b8e830038db1dcbf,"ESL, Performing Arts",Let's Hear It For the Boys,My students need boy's jazz pants and dance shirts for dance club.,New York,urban,11219,Grades 3-5,"lets hear it for the boys & my students need boys jazz pants and dance shirts for dance club. & esl, performing arts & new york"
2450ee51be5cb2443ef5285ead5272f6,"Literacy, Parent Involvement",The Beavers & Their Parents Are Going To College!,"My students need 30 iPad minis with cases - one for each child to use with their family before, during, and after school.",California,suburban,92026,Grades PreK-2,"the beavers & their parents are going to college & my students need 30 ipad minis with cases one for each child to use with their family before, during, and after school. & literacy, parent involvement & california"
2bb1253178d3ffc7bc3dcd873ee3598a,"Applied Sciences, Literature & Writing",We Need a MacBook Pro Laptop for Our Classroom!,My students need a MacBook pro laptop so we can work on research and technology projects in our classroom.,California,urban,90041,Grades 3-5,"we need a macbook pro laptop for our classroom & my students need a macbook pro laptop so we can work on research and technology projects in our classroom. & applied sciences, literature & writing & california"
2dad23a4f17fba51a1e448f47d941a7b,"Literacy, Literature & Writing",Make Writing Exciting!,My students need writing journals.,Florida,suburban,34711,Grades 3-5,"make writing exciting & my students need writing journals. & literacy, literature & writing & florida"
2ec564e2089786466459f60e948b4a31,"Special Needs, Visual Arts",Drawing Outside the Lines,"My students need art supplies to work with special needs students in the art classroom. They are in need of 13 bottles of paint, 5 paint tools, paint brushes, craft buttons and more.",Texas,suburban,77511,Grades 9-12,"drawing outside the lines & my students need art supplies to work with special needs students in the art classroom. they are in need of 13 bottles of paint, paint tools, paint brushes, craft buttons and more. & special needs, visual arts & texas"
3055826a07492bb53c1795cec409f5f8,"Gym & Fitness, Health & Wellness",Playing Hard and Learning More,My students need a basketball hoop and balls.  ,Illinois,urban,60624,Grades PreK-2,"playing hard and learning more & my students need a basketball hoop and balls. & gym & fitness, health & wellness & illinois"
3083c6991aedd3a462dc62bd2a1d6ade,Literacy,Color Ink For Language Development:  Black,My students need color ink.,California,urban,90006,Grades PreK-2,color ink for language development black & my students need color ink. & literacy & california
39fcc0de5c1e542facfa5166448e8c7a,Literacy,Osmo-rific,"My students need an iPad mini, an OSMO gaming system, protection plan and a place to store and charge our iPads.",North Carolina,suburban,28704,Grades 3-5,"osmorific & my students need an ipad mini, an osmo gaming system, protection plan and a place to store and charge our ipads. & literacy & north carolina"
3a1b79583ddbc15c812ccc56e1a75136,"Environmental Science, Health & Life Science",Materials for Future Scientists,"My students need a plant light house, 2 robotic arms, 5 RoboTX, a K'NEX Computer control set,  a K'NEX aeronautics set, a snap circuit, and two preserved animal displays.",California,urban,90011,Grades 3-5,"materials for future scientists & my students need a plant light house, robotic arms, robotx, a knex computer control set, a knex aeronautics set, a snap circuit, and two preserved animal displays. & environmental science, health & life science & california"
3b32ead562921d42ffb75126173187ef,Music,Look and Feel Like Professionals!,"My students need basic supplies such as strings, rosin, and shoulder rests each school year.",Georgia,suburban,30236,Grades 6-8,"look and feel like professionals & my students need basic supplies such as strings, rosin, and shoulder rests each school year. & music & georgia"
3bbd440be96e34a30459c81cfbf402aa,Literacy,We Want to Read!,My students need sight-word materials that will aid them in learning how to read.,Texas,urban,79925,Grades PreK-2,we want to read & my students need sightword materials that will aid them in learning how to read. & literacy & texas
3efa2475e42a759ebbe3cc737828cf48,"Early Development, Visual Arts",It's Ok To Get Messy!  We Love To Paint!,"My students need a Space Saver Mobile Art Center, paint cups with carrier, easel paper, & a storage center to develop their creativity and fine motor skills in preschool.",California,urban,91343,Grades PreK-2,"its ok to get messy we love to paint & my students need a space saver mobile art center, paint cups with carrier, easel paper, & a storage center to develop their creativity and fine motor skills in preschool. & early development, visual arts & california"
417dfa2f721b35317545529933d9c018,"Literacy, Social Sciences",The Core of Reading,My students need non-fiction books to help them learn about real life. These books will help me teach the Common Core standards.,California,urban,92603,Grades PreK-2,"the core of reading & my students need nonfiction books to help them learn about real life. these books will help me teach the common core standards. & literacy, social sciences & california"
43cc9ca09d5ae74fbb74838f03412cc1,Literacy,Good Books Needed For Our Listening Ears!,My students need listening center read-along books and Big Books to enjoy during reading center time.,North Carolina,urban,27215,Grades PreK-2,good books needed for our listening ears & my students need listening center readalong books and big books to enjoy during reading center time. & literacy & north carolina
459b968bc0fff536702e3df2d601c162,"Music, Performing Arts","76 Trombones! (Just Kidding, just one!)",My students need a new trombone!,Pennsylvania,suburban,15220,Grades 3-5,"76 trombones just kidding, just one & my students need a new trombone & music, performing arts & pennsylvania"
45d0891857161f5c49ebe1f470d18c19,"Literacy, Literature & Writing",For the Love of Reading,My students need many high interest books to add to our classroom library.,California,urban,92301,Grades 6-8,"for the love of reading & my students need many high interest books to add to our classroom library. & literacy, literature & writing & california"
499ece17c2ff9f60d418ba11925f1bcb,Early Development,Commotion in the Ocean,"My students need books, puppets, puzzles, and art materials to enrich our ocean animal unit.",Texas,urban,75081,Grades PreK-2,"commotion in the ocean & my students need books, puppets, puzzles, and art materials to enrich our ocean animal unit. & early development & texas"
4af87fb89bc29234fb424d57b762bbd1,"Environmental Science, Health & Life Science",Caution: Scientists at Work!,"My students need microscope slides sets, stethoscopes, and a human heart model in order to learn challenging science concepts.",California,urban,95120,Grades 3-5,"caution scientists at work & my students need microscope slides sets, stethoscopes, and a human heart model in order to learn challenging science concepts. & environmental science, health & life science & california"
4b4a5a3e98d575b4b8a48ae29b8ce390,Music,Cello Bows!!!,"My students need 6 cello bows. We need to replace the ones we have, because they are worn out and old.",Michigan,urban,48154,Grades 6-8,"cello bows & my students need cello bows. we need to replace the ones we have, because they are worn out and old. & music & michigan"
4b9803406838b9b11c217b7c2d072300,Literacy,Projector for Struggling Readers,My students need a projector for my Epson document camera to help improve their reading skills.,New York,urban,11238,Grades PreK-2,projector for struggling readers & my students need a projector for my epson document camera to help improve their reading skills. & literacy & new york
4c244e20cec20f579e7b6fb09f0a82bc,"College & Career Prep, Mathematics",Traveling on a Budget  - Part 2,"My students need an iPad and art supplies to create their ""Traveling on a Budget"" scrapbooks as they learn about using a budget and financial literacy.",California,urban,93313,Grades 3-5,"traveling on a budget part & my students need an ipad and art supplies to create their traveling on a budget scrapbooks as they learn about using a budget and financial literacy. & college & career prep, mathematics & california"
4ca36949179cbdedc91f5be4222ff260,"Health & Wellness, Special Needs","We Want to Wiggle, Not Wobble with Topple-Free Ball Bowls",My students need 20 ball bowl stabilizer bases for our existing exercise balls.,North Carolina,suburban,28613,Grades PreK-2,"we want to wiggle, not wobble with topplefree ball bowls & my students need 20 ball bowl stabilizer bases for our existing exercise balls. & health & wellness, special needs & north carolina"
4d24b8ffd5a19c3492bfcfb2d41d5ff5,"Music, Performing Arts",Super S.T.A.R.S. - Special Students Tape & Record Solos!,"My students need an iPad mini, GoPro camera, battery pack, memory card & tripod to film them in hydro therapy & in their wheelchairs to produce their special music videos.",Florida,suburban,33024,Grades 9-12,"super s.t.a.r.s. special students tape & record solos & my students need an ipad mini, gopro camera, battery pack, memory card & tripod to film them in hydro therapy & in their wheelchairs to produce their special music videos. & music, performing arts & florida"
4fb102f31260c90c7a0551c0915a82f4,"ESL, Gym & Fitness",Dance And Physical Education Got You Over A Barrel?,My students need 3 octagonal tumbling mats.,New York,urban,11219,Grades PreK-2,"dance and physical education got you over a barrel & my students need octagonal tumbling mats. & esl, gym & fitness & new york"
51cfababda72f9775c523d6aae6c6041,"Literacy, Literature & Writing",Tabletop Learning,"My students need a case for our iPad, set of 6 pocket charts and a tabletop pocket chart stand.",North Carolina,suburban,28704,Grades PreK-2,"tabletop learning & my students need a case for our ipad, set of pocket charts and a tabletop pocket chart stand. & literacy, literature & writing & north carolina"
5247e47e1e0954210a6b3296c2d05697,"Performing Arts, Special Needs","STEM! Can Dance, Perform and Teach Environmental Protection!",My students need costumes to enhance their choreography and to support the work they are creating.,New York,urban,10023,Grades PreK-2,"stem can dance, perform and teach environmental protection & my students need costumes to enhance their choreography and to support the work they are creating. & performing arts, special needs & new york"
5496386069b0f9595f2ec070884493b3,Literacy,The Invention of Hugo Cabret,My students need 28 copies of the book The Invention of Hugo Cabret to read aloud for our unit on inventors.,California,suburban,92345,Grades 3-5,the invention of hugo cabret & my students need 28 copies of the book the invention of hugo cabret to read aloud for our unit on inventors. & literacy & california
55bdd3141b8e8c811b3f72682446d9f8,"Music, Performing Arts",Uke Troupe! New Music Group! Whoop! Whoop!,My students need twenty-six Makala soprano ukuleles.,Indiana,urban,46222,Grades 6-8,"uke troupe new music group whoop whoop & my students need twentysix makala soprano ukuleles. & music, performing arts & indiana"
5914eb404a9612ce7ceee8d064a501a8,"Foreign Languages, Mathematics",Welcoming Technology In A Dual Language Classroom!,"My students need 4 tablets and 4 protective cases to support their learning objectives in math, reading/writing and second language-Spanish.",Texas,urban,79912,Grades PreK-2,"welcoming technology in a dual language classroom & my students need tablets and protective cases to support their learning objectives in math, readingwriting and second languagespanish. & foreign languages, mathematics & texas"
5b6ecf216bdb03c0868f8d8e20ac1b82,"Music, Performing Arts","We Need a Stand, So We Can Deliver.",My students need an Orff Instrument stand and a set of extra mallets.,New York,urban,10037,Grades PreK-2,"we need a stand, so we can deliver. & my students need an orff instrument stand and a set of extra mallets. & music, performing arts & new york"
5b8f3708d62fb0efb2f52ba6ee94b47d,"Music, Performing Arts",Daily Ukuleles,My students need a starter kit of ukuleles.  With ukuleles our students can accompany themselves at our spring concert in May.,New York,urban,11372,Grades 3-5,"daily ukuleles & my students need a starter kit of ukuleles. with ukuleles our students can accompany themselves at our spring concert in may. & music, performing arts & new york"
5c2c5a9c9b13c73a3b59a711513c65cf,"Literacy, Literature & Writing",Mini iPad into Reading II,My students need a mini iPad with cover to become independent in reading.,Texas,urban,78242,Grades PreK-2,"mini ipad into reading ii & my students need a mini ipad with cover to become independent in reading. & literacy, literature & writing & texas"
5db5dbb4f3d22aa00f56646c6ce4d51f,"Social Sciences, Visual Arts",Toner Needed for Our Projects!,My students need toner for our laser jet printer and ink cartridges for our color printer so we can print our books.,California,urban,90041,Grades 3-5,"toner needed for our projects & my students need toner for our laser jet printer and ink cartridges for our color printer so we can print our books. & social sciences, visual arts & california"
60dc8016a982650bbb0ec085d1ff0aff,"Health & Wellness, Literacy",Our Room is 97 DEGREES with NO AC! Please Help!,My students need a Honeywell portable AC unit and foam tape to keep their bodies cool and their minds alert when our classroom reaches unhealthy indoor temperatures like today. ,Pennsylvania,urban,19148,Grades 3-5,"our room is 97 degrees with no ac please help & my students need a honeywell portable ac unit and foam tape to keep their bodies cool and their minds alert when our classroom reaches unhealthy indoor temperatures like today. & health & wellness, literacy & pennsylvania"
6246a339ae04888890280b04f4d2ffb8,Literacy,Fluent Readers = Confident Readers,"My students need 3 sets of Readers Theater scripts, a fluency and comprehension partner script set and a fluency card bank.",North Carolina,suburban,28704,Grades PreK-2,"fluent readers confident readers & my students need sets of readers theater scripts, a fluency and comprehension partner script set and a fluency card bank. & literacy & north carolina"
6322e4dacd62b01a75ee0428b6d2e3fc,"Music, Performing Arts",Sound Off For Great Sounds: Reeds!,"My students need a choice of high quality reeds to help them achieve their best, personal sound!",New York,urban,11214,Grades 3-5,"sound off for great sounds reeds & my students need a choice of high quality reeds to help them achieve their best, personal sound & music, performing arts & new york"
677ad3137632b3b8b7404af0177c8905,"Music, Performing Arts",Tickets to Success!,"My students need incentives such as Puzzle Balls, Plush Sports Balls, Rubik's Cubes, Paddleball Games, and Jacks.",Indiana,urban,46222,Grades 6-8,"tickets to success & my students need incentives such as puzzle balls, plush sports balls, rubiks cubes, paddleball games, and jacks. & music, performing arts & indiana"
67ade0cf003f728ffc6a05deea1b40ca,"Music, Performing Arts",Surprise! Surprise! Music Supplies!,"My students need basic supplies such as folders, two flash drives, chart stickers, and blank CD's.",Indiana,urban,46222,Grades 3-5,"surprise surprise music supplies & my students need basic supplies such as folders, two flash drives, chart stickers, and blank cds. & music, performing arts & indiana"
683e1a0fe41a5b6446d498f6a2c53f56,Literacy,Becoming a Fluent Reader,My students need 10 individual CD players to increase their reading fluency. ,California,suburban,92562,Grades 3-5,becoming a fluent reader & my students need 10 individual cd players to increase their reading fluency. & literacy & california
6a6fdaa0c538833760e9bcb5a20a6122,"Gym & Fitness, Health & Wellness",Pinnies and Things That Stick,"My students need pinnies, bandages, stickers, and Post-it easel pads.",New York,urban,11219,Grades 3-5,"pinnies and things that stick & my students need pinnies, bandages, stickers, and postit easel pads. & gym & fitness, health & wellness & new york"
6c2a7809048b0516a6e86785e92c8e92,"Applied Sciences, Environmental Science",We Want Science,"My students need one Frog Injected Biosmount, one egg comparison, two rovers, a plant house and twenty science journals. ",California,urban,90011,Grades 3-5,"we want science & my students need one frog injected biosmount, one egg comparison, two rovers, a plant house and twenty science journals. & applied sciences, environmental science & california"
6d6de94a6eb166e78fd65b6e428f5b16,"Early Development, Mathematics",Making Math Come Alive!,My students need Magna-Tiles to help learn about 2D and 3D shapes and make math come alive!,New York,urban,10002,Grades PreK-2,"making math come alive & my students need magnatiles to help learn about 2d and 3d shapes and make math come alive & early development, mathematics & new york"
6f80450c260f7d4b827162d80dfda4ac,"Music, Performing Arts",Bouncing Balls to the Beat!,"My students need thirty-two basketballs, a ball rack, and an inflator pump to practice keeping the beat.",Indiana,urban,46222,Grades 3-5,"bouncing balls to the beat & my students need thirtytwo basketballs, a ball rack, and an inflator pump to practice keeping the beat. & music, performing arts & indiana"
70c7fbf030af7a0717f71d65b787d028,"Gym & Fitness, Health & Wellness","Form, Fitness, Function, Fun!","My students need more regular exercise with the help of fitness equipment: tug of war rope, playing balls, inflator, and a storage cart.",California,suburban,90250,Grades PreK-2,"form, fitness, function, fun & my students need more regular exercise with the help of fitness equipment tug of war rope, playing balls, inflator, and a storage cart. & gym & fitness, health & wellness & california"
710022c446e03874a5715ec166eb650d,"Literacy, Literature & Writing",Books!,My students need 42 books such as The Very Fairy Princess and African Elephants to use for independent reading at home and at school.,Texas,urban,78242,Grades PreK-2,"books & my students need 42 books such as the very fairy princess and african elephants to use for independent reading at home and at school. & literacy, literature & writing & texas"
752060ce4806f13da1eec5bb74bbe0a3,"Music, Performing Arts",Orchestra Seeking the 'Bare Necessities',My students need these basic materials like Cello Endpin Anchors and Pocket Rosins in order to continue to participate in our Orchestra class.,California,urban,94619,Grades 9-12,"orchestra seeking the bare necessities & my students need these basic materials like cello endpin anchors and pocket rosins in order to continue to participate in our orchestra class. & music, performing arts & california"
779509bbb388d299d7c2cf25c2fba1d0,Environmental Science,Sun? Wind? Fuel? Which Energy Source to Choose?!,"My students need 2 Renewable Energy Education Sets, for a hands-on demonstration to be able to understand the concept of renewable energy. ",Georgia,urban,31313,Grades 9-12,"sun wind fuel which energy source to choose & my students need renewable energy education sets, for a handson demonstration to be able to understand the concept of renewable energy. & environmental science & georgia"
7be191d06ffcdddf6e99f5024bd7ef2a,"Music, Special Needs",Bringing Community with Drum Circles,"My students need a set of drums, books and music CDs to help facilitate the drum circles.",California,suburban,91775,Grades 3-5,"bringing community with drum circles & my students need a set of drums, books and music cds to help facilitate the drum circles. & music, special needs & california"
7e044358e0c02d54d97061aee72693a3,"Literacy, Special Needs",Operation Diversity 2: Bringing Color In ,"My students need black and color ink, markers and crayons to create colorful assignments, and card stock to keep assignments that will last through time! ",California,suburban,91775,Grades 3-5,"operation diversity bringing color in & my students need black and color ink, markers and crayons to create colorful assignments, and card stock to keep assignments that will last through time & literacy, special needs & california"
8071dc66b5652f65167bedef2df277d5,"Special Needs, Visual Arts",Visual Learning for Special Education Students,"My students need die cut abc's, die cut pictures, and storage rack for projects and to make our school look beautiful to invite visual learning! ",Illinois,suburban,60473,Grades 9-12,"visual learning for special education students & my students need die cut abcs, die cut pictures, and storage rack for projects and to make our school look beautiful to invite visual learning & special needs, visual arts & illinois"
8083ffa1306664d562a5b8ec7585b971,"Performing Arts, Special Needs","""Dancing"" A Dream and Dreaming Big!!!",My students need West African Ethnic Costumes for boys and girls for our up coming dance concert. ,New York,urban,10023,Grades PreK-2,"dancing a dream and dreaming big & my students need west african ethnic costumes for boys and girls for our up coming dance concert. & performing arts, special needs & new york"
80ab6936c6029284b4b4e848cda23b6f,Applied Sciences,From STEM to STEAM=Science and Art Go Hand-in-Hand!,"My students need a Dot and Dash WonderPack, a Dash Robot launcher, two MiP Robots, an iPad Air, and a battery charger to infuse STEM and art activities in the classroom.",California,urban,91331,Grades 3-5,"from stem to steamscience and art go handinhand & my students need a dot and dash wonderpack, a dash robot launcher, two mip robots, an ipad air, and a battery charger to infuse stem and art activities in the classroom. & applied sciences & california"
815d7958f743ce98d1e53337222c88a7,"Music, Performing Arts",Help Our Orchestra!,"My students need 1 hard case for a cello, so that students can take instruments home without damaging them.",California,suburban,91733,Grades 9-12,"help our orchestra & my students need hard case for a cello, so that students can take instruments home without damaging them. & music, performing arts & california"
823a042fee7b4c4e4847884bee4c113e,"Music, Performing Arts",We Need Books to Succeed,My students need assorted method books to help learn how to play their instruments.,Indiana,urban,46201,Grades 6-8,"we need books to succeed & my students need assorted method books to help learn how to play their instruments. & music, performing arts & indiana"
8278d8d77cd4e647dcc3ed952187902a,Visual Arts,Visual Projector,My students need a document camera.,Texas,urban,79938,Grades 6-8,visual projector & my students need a document camera. & visual arts & texas
835a7ce055bd7e04b9b2de07e1a3bbed,"Environmental Science, Health & Life Science",Aquaponics: When Hydroponics and Aquaculture Collide,"My students need a significant addition to our Garden Science program an Aquaponics system.  A simple, yet incredible system to exemplify green technology + gardening.",California,urban,90048,Grades 3-5,"aquaponics when hydroponics and aquaculture collide & my students need a significant addition to our garden science program an aquaponics system. a simple, yet incredible system to exemplify green technology gardening. & environmental science, health & life science & california"
8499142ee64487ddd4ba99b6b6c9670d,"Environmental Science, Mathematics",Can You Say Non-Fiction?,"My students need nonfiction science and math readers  and 5 Amazon Kindle e-readers with stylist so that they can annotate, highlight, and build academic language.",California,suburban,92562,Grades 3-5,"can you say nonfiction & my students need nonfiction science and math readers and amazon kindle ereaders with stylist so that they can annotate, highlight, and build academic language. & environmental science, mathematics & california"
8987ca33758b38029969014279b5d814,"Literature & Writing, Mathematics","""Implementing Financial Literacy Daily""","My students need 2 iPads, 2 protective covers, money cards, and games: Real-World Math Kits, Shopping Math, ATM action, Making Cents, The Allowance Game, and Managing Your Money.",Texas,urban,79904,Grades 3-5,"implementing financial literacy daily & my students need ipads, protective covers, money cards, and games realworld math kits, shopping math, atm action, making cents, the allowance game, and managing your money. & literature & writing, mathematics & texas"
8a7c852cd4d291dcf7165c344f9cdfa6,"Literacy, Performing Arts",Bloody Swords and Satin Capes: Shakespeare,"My students need swords, robes, a bloody hand, and other props to read and act out Shakespeare's plays and other texts.",North Carolina,urban,27704,Grades 6-8,"bloody swords and satin capes shakespeare & my students need swords, robes, a bloody hand, and other props to read and act out shakespeares plays and other texts. & literacy, performing arts & north carolina"
8b062edac3dac9454f2c8d4ac7328ed0,Literacy,An Alphabet Rug to Gather On and Learn Together,My students need a rug to sit on during whole class instruction and 8 headphones for listening to computer learning games and electronic books.,California,urban,95928,Grades PreK-2,an alphabet rug to gather on and learn together & my students need a rug to sit on during whole class instruction and headphones for listening to computer learning games and electronic books. & literacy & california
8bb5c0dd0d4dabe3ef1150fa0d1bee95,Applied Sciences,Let's Encourage More Students to Pursue Science,"My students need one Energy Conversion kit, one Robotic Arm Edge, one Hydro-Wind Education kit and three transforming solar robots.",California,urban,90011,Grades 3-5,"lets encourage more students to pursue science & my students need one energy conversion kit, one robotic arm edge, one hydrowind education kit and three transforming solar robots. & applied sciences & california"
8bcd9967380be8ab0714dc22bc88f4bb,"Applied Sciences, Early Development",We Want To Learn From A Famous Beaver!,My students need 2 activity tables to use for daily science stations.,California,suburban,92026,Grades PreK-2,"we want to learn from a famous beaver & my students need activity tables to use for daily science stations. & applied sciences, early development & california"
8c5d44909c46b7243d8ae16ba32bbc3a,Civics & Government,"An iPad for Us, Too!",My students need an iPad 2 to learn about our country's civil rights movements. ,North Carolina,suburban,28704,Grades PreK-2,"an ipad for us, too & my students need an ipad to learn about our countrys civil rights movements. & civics & government & north carolina"
8c674ba96547d8e1d37f1701071d0e00,"Applied Sciences, ESL",Document Camera in the ESOL Classroom!,My students need an Ipevo VGA/USB document camera and the accessories to go with it!,Pennsylvania,urban,19148,Grades 3-5,"document camera in the esol classroom & my students need an ipevo vgausb document camera and the accessories to go with it & applied sciences, esl & pennsylvania"
8caaa8b3a0f39c7371eb43ff5be24983,"Literacy, Special Needs",iCreate with a Mini iPad,My students need an iPad mini to have new and exciting ways to learn.,California,suburban,92555,Grades 9-12,"icreate with a mini ipad & my students need an ipad mini to have new and exciting ways to learn. & literacy, special needs & california"
93795a72b97ba6a8b515833f776fb822,Parent Involvement,A Zebra in the PRC,"My students need a zebra chair, a computer desk and zebra themed desk accessories. ",North Carolina,suburban,28704,Grades PreK-2,"a zebra in the prc & my students need a zebra chair, a computer desk and zebra themed desk accessories. & parent involvement & north carolina"
9559321e14227b2c93d58f7ca38bb56d,"Music, Performing Arts",Light Up Our Music! Please!,My students need LED tambourines and maracas and white and green LED Wands for our music room and school performances.,Indiana,urban,46222,Grades 3-5,"light up our music please & my students need led tambourines and maracas and white and green led wands for our music room and school performances. & music, performing arts & indiana"
9698667f4a6d5dad019619b1736a9a20,"Special Needs, Visual Arts",Quilting Our School Memory Pt.2: Sewing Our Memories Secure,My students need a Brother CP-6500 sewing machine to create a memory quilt.,California,suburban,91775,Grades 3-5,"quilting our school memory pt.2 sewing our memories secure & my students need a brother cp6500 sewing machine to create a memory quilt. & special needs, visual arts & california"
